Time,Wind_Geschwindigkeit,Wind_Richtung
2021-02-22 00:00:00,0.85,244.0
2021-02-22 01:00:00,1.05,171.5
2021-02-22 02:00:00,1.05,251.5
2021-02-22 03:00:00,0.75,270.0
2021-02-22 04:00:00,0.6499999999999999,215.5
2021-02-22 05:00:00,0.75,186.0
2021-02-22 06:00:00,1.0,238.0
2021-02-22 07:00:00,0.30000000000000004,175.0
2021-02-22 08:00:00,0.25,121.0
2021-02-22 09:00:00,0.45,255.0
2021-02-22 10:00:00,1.4,331.0
2021-02-22 11:00:00,1.45,312.5
2021-02-22 12:00:00,1.85,309.0
2021-02-22 13:00:00,1.5,323.5
2021-02-22 14:00:00,1.2,336.0
2021-02-22 15:00:00,1.45,317.5
2021-02-22 16:00:00,1.7,316.0
2021-02-22 17:00:00,1.2000000000000002,322.0
2021-02-22 18:00:00,0.75,222.0
2021-02-22 19:00:00,0.7,81.5
2021-02-22 20:00:00,0.8,150.5
2021-02-22 21:00:00,1.4,99.5
2021-02-22 22:00:00,1.15,254.5
2021-02-22 23:00:00,0.8,92.0
2021-02-23 00:00:00,0.8,290.5
2021-02-23 01:00:00,0.55,136.0
2021-02-23 02:00:00,0.8,147.0
2021-02-23 03:00:00,0.6,176.5
2021-02-23 04:00:00,0.4,147.0
2021-02-23 05:00:00,0.8,173.0
2021-02-23 06:00:00,0.45,167.0
2021-02-23 07:00:00,0.5,98.0
2021-02-23 08:00:00,1.9500000000000002,161.5
2021-02-23 09:00:00,1.15,92.5
2021-02-23 10:00:00,1.3,143.0
2021-02-23 11:00:00,1.05,145.0
2021-02-23 12:00:00,1.4,157.5
2021-02-23 13:00:00,1.5499999999999998,165.5
2021-02-23 14:00:00,1.7,167.0
2021-02-23 15:00:00,1.2999999999999998,171.0
2021-02-23 16:00:00,1.65,171.0
2021-02-23 17:00:00,1.4500000000000002,160.0
2021-02-23 18:00:00,0.95,161.5
2021-02-23 19:00:00,1.1,164.0
2021-02-23 20:00:00,1.2,167.0
2021-02-23 21:00:00,1.2999999999999998,166.5
2021-02-23 22:00:00,1.45,164.5
2021-02-23 23:00:00,1.4,165.0
2021-02-24 00:00:00,0.95,160.5
2021-02-24 01:00:00,1.4,163.5
2021-02-24 02:00:00,1.5,167.0
2021-02-24 03:00:00,1.4500000000000002,165.0
2021-02-24 04:00:00,1.1,165.0
2021-02-24 05:00:00,1.15,166.5
2021-02-24 06:00:00,1.35,164.5
2021-02-24 07:00:00,1.75,165.5
2021-02-24 08:00:00,1.95,167.0
2021-02-24 09:00:00,1.85,165.5
2021-02-24 10:00:00,1.25,163.5
2021-02-24 11:00:00,1.25,167.5
2021-02-24 12:00:00,1.35,155.0
2021-02-24 13:00:00,1.0,187.0
2021-02-24 14:00:00,1.1,200.5
2021-02-24 15:00:00,0.9,211.0
2021-02-24 16:00:00,1.05,181.0
2021-02-24 17:00:00,1.05,151.0
2021-02-24 18:00:00,0.8500000000000001,143.0
2021-02-24 19:00:00,1.2,165.0
2021-02-24 20:00:00,1.3,164.0
2021-02-24 21:00:00,1.35,165.0
2021-02-24 22:00:00,1.65,170.0
2021-02-24 23:00:00,1.4,168.0
2021-02-25 00:00:00,1.2000000000000002,167.5
2021-02-25 01:00:00,0.65,143.0
2021-02-25 02:00:00,1.05,167.5
2021-02-25 03:00:00,1.95,170.5
2021-02-25 04:00:00,1.55,167.5
2021-02-25 05:00:00,1.25,165.0
2021-02-25 06:00:00,1.2000000000000002,165.5
2021-02-25 07:00:00,1.15,166.0
2021-02-25 08:00:00,1.05,162.5
2021-02-25 09:00:00,1.2000000000000002,162.0
2021-02-25 10:00:00,1.25,158.5
2021-02-25 11:00:00,1.85,166.0
2021-02-25 12:00:00,1.65,171.0
2021-02-25 13:00:00,1.9,167.5
2021-02-25 14:00:00,1.2,185.5
2021-02-25 15:00:00,1.1,178.0
2021-02-25 16:00:00,1.2999999999999998,176.0
2021-02-25 17:00:00,1.15,174.5
2021-02-25 18:00:00,0.65,155.0
2021-02-25 19:00:00,0.8,170.0
2021-02-25 20:00:00,0.75,169.5
2021-02-25 21:00:00,1.0,172.5
2021-02-25 22:00:00,1.1,173.0
2021-02-25 23:00:00,1.2,170.0
2021-02-26 00:00:00,0.6,233.5
2021-02-26 01:00:00,1.0,166.5
2021-02-26 02:00:00,1.35,165.5
2021-02-26 03:00:00,1.1,163.0
2021-02-26 04:00:00,1.05,165.0
2021-02-26 05:00:00,0.8500000000000001,165.0
2021-02-26 06:00:00,0.95,164.5
2021-02-26 07:00:00,1.1,168.0
2021-02-26 08:00:00,0.9,165.5
2021-02-26 09:00:00,0.55,157.5
2021-02-26 10:00:00,0.7,165.0
2021-02-26 11:00:00,2.4,314.5
2021-02-26 12:00:00,2.85,321.0
2021-02-26 13:00:00,3.5,323.0
2021-02-26 14:00:00,3.45,317.5
2021-02-26 15:00:00,2.55,334.0
2021-02-26 16:00:00,3.0,321.5
2021-02-26 17:00:00,2.25,333.0
2021-02-26 18:00:00,1.95,324.0
2021-02-26 19:00:00,2.0,306.5
2021-02-26 20:00:00,1.5499999999999998,315.0
2021-02-26 21:00:00,1.3,309.0
2021-02-26 22:00:00,0.8,332.0
2021-02-26 23:00:00,0.8,318.0
2021-02-27 00:00:00,1.0,321.5
2021-02-27 01:00:00,0.6,300.5
2021-02-27 02:00:00,0.8,321.0
2021-02-27 03:00:00,1.05,318.5
2021-02-27 04:00:00,0.6499999999999999,293.5
2021-02-27 05:00:00,0.6,289.5
2021-02-27 06:00:00,0.5,257.0
2021-02-27 07:00:00,0.4,216.5
2021-02-27 08:00:00,0.5,229.0
2021-02-27 09:00:00,0.6000000000000001,223.0
2021-02-27 10:00:00,1.3,332.5
2021-02-27 11:00:00,1.75,335.0
2021-02-27 12:00:00,2.3499999999999996,163.5
2021-02-27 13:00:00,2.15,342.0
2021-02-27 14:00:00,1.65,51.5
2021-02-27 15:00:00,1.65,29.5
2021-02-27 16:00:00,1.65,45.5
2021-02-27 17:00:00,1.6,32.5
2021-02-27 18:00:00,1.65,175.0
2021-02-27 19:00:00,1.85,349.5
2021-02-27 20:00:00,1.4500000000000002,336.0
2021-02-27 21:00:00,2.0,84.5
2021-02-27 22:00:00,1.6,45.0
2021-02-27 23:00:00,1.2,26.0
2021-02-28 00:00:00,1.25,87.5
2021-02-28 01:00:00,1.3,188.5
2021-02-28 02:00:00,0.95,312.5
2021-02-28 03:00:00,0.75,156.5
2021-02-28 04:00:00,1.1,315.0
2021-02-28 05:00:00,1.1,310.0
2021-02-28 06:00:00,1.15,283.5
2021-02-28 07:00:00,1.5,186.0
2021-02-28 08:00:00,1.2,313.5
2021-02-28 09:00:00,1.25,321.5
2021-02-28 10:00:00,1.55,86.5
2021-02-28 11:00:00,1.55,141.5
2021-02-28 12:00:00,1.95,141.5
2021-02-28 13:00:00,2.25,147.0
2021-02-28 14:00:00,1.7,117.0
2021-02-28 15:00:00,2.0,122.5
2021-02-28 16:00:00,1.8,121.5
2021-02-28 17:00:00,1.7,111.5
2021-02-28 18:00:00,1.05,49.5
2021-02-28 19:00:00,0.8,108.5
2021-02-28 20:00:00,0.85,325.0
2021-02-28 21:00:00,0.75,207.5
2021-02-28 22:00:00,1.15,133.5
2021-02-28 23:00:00,0.9,151.0
